iter	Passed	Remaining
0	11	1643
1	20	1490
2	29	1435
3	38	1403
4	47	1383
5	56	1361
6	65	1340
7	74	1326
8	83	1306
9	91	1286
10	100	1270
11	109	1259
12	118	1249
13	127	1236
14	135	1223
15	144	1212
16	153	1202
17	162	1189
18	171	1180
19	179	1169
20	188	1160
21	202	1177
22	214	1181
23	224	1177
24	234	1170
25	243	1159
26	252	1151
27	262	1143
28	271	1132
29	281	1124
30	290	1115
31	299	1105
32	309	1098
33	319	1089
34	328	1080
35	337	1069
36	347	1060
37	356	1051
38	365	1040
39	374	1029
40	383	1018
41	391	1007
42	400	996
43	411	990
44	422	985
45	431	976
46	440	966
47	449	955
48	458	944
49	466	933
50	475	923
51	484	912
52	493	903
53	502	892
54	514	888
55	524	880
56	533	870
57	542	860
58	551	850
59	560	840
60	569	830
61	578	821
62	588	812
63	597	802
64	607	794
65	619	788
66	629	779
67	639	771
68	649	762
69	658	752
70	667	742
71	676	733
72	686	723
73	695	714
74	704	704
75	713	695
76	722	685
77	731	675
78	739	665
79	748	655
80	757	645
81	766	635
82	775	625
83	784	616
84	793	606
85	802	597
86	813	589
87	824	580
88	836	573
89	846	564
90	856	555
91	866	546
92	875	536
93	885	527
94	894	517
95	904	508
96	913	498
97	923	489
98	932	480
99	941	470
100	950	461
101	959	451
102	967	441
103	976	432
104	985	422
105	994	412
106	1002	403
107	1011	393
108	1023	384
109	1038	377
110	1048	368
111	1059	359
112	1072	351
113	1082	341
114	1093	332
115	1104	323
116	1115	314
117	1126	305
118	1136	296
119	1146	286
120	1156	277
121	1166	267
122	1176	258
123	1186	248
124	1196	239
125	1206	229
126	1223	221
127	1244	213
128	1254	204
129	1266	194
130	1277	185
131	1287	175
132	1298	165
133	1309	156
134	1320	146
135	1331	137
136	1342	127
137	1353	117
138	1363	107
139	1374	98
140	1386	88
141	1396	78
142	1407	68
143	1417	59
144	1431	49
145	1448	39
146	1465	29
147	1476	19
148	1487	9
149	1497	0
